data breach,ransomware,cybersecurity jobs,isPartial
15,14,4,False
15,15,4,False
20,15,4,False
17,14,3,False
16,17,4,False
18,15,4,False
17,14,4,False
16,15,4,False
15,15,4,False
17,17,4,False
16,16,4,False
16,17,4,False
18,15,4,False
16,16,4,False
19,15,4,False
20,15,4,False
22,16,5,False
68,16,4,False
40,15,5,False
19,14,4,False
20,18,5,False
24,15,5,False
29,18,5,False
32,17,6,False
41,24,9,False
81,40,12,False
80,41,10,False
76,40,9,False
71,41,9,False
61,45,9,False
59,41,9,False
96,88,10,False
97,95,11,False
89,76,10,False
94,72,9,False
76,70,8,False
82,61,8,False
69,72,8,False
78,64,8,False
79,65,8,False
90,67,9,False
100,64,12,False
78,54,11,False
66,42,10,False
40,29,8,False
41,24,8,False
45,29,10,False
49,29,10,False
43,32,10,False
52,38,11,False
44,25,5,False
58,22,4,False
74,21,4,True
